"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000000000000000000000000000000","1E-15","No"
"0x038f63ea13b0f3d441777a298806337d4a6a63b2","9.36393319766536","No"
"0x04e67fed060d12e8ab391809aab60196e406be8a","16.9854024928688","No"
"0x04efd3c3c53143b24d976ad47e259d527bca6917","1.2633883356494","No"
"0x06f2d97500e1529f226adb2dcb68a1a8c5175157","27.2319272064268","No"
"0x0786cb6a2eef499658d96fc575b54e87499ed23d","16.8368613332937","No"
"0x091d8de14dc0db1c7266afc1726880dc532fb90c","700.899565427733","No"
"0x0a3c1afb62aa8d2358b18dd5bafab798990b4750","2.00194364530384","No"
"0x0b94c47dabc3a8153982a745a6062189a8d2b9b3","101.727865077481","No"
"0x0bec2a7885d600ddb7a06e58ea1ff475dfc7cc22","1.30563247376889","No"
"0x0c8d8485f6680b1e384f83866968d655468dce63","2.87357502579705","No"
"0x0e2353516eb6208aa84a552b9a1ee5f13edada57","26.4531128222323","No"
"0x0e91cf9dd6a1c10e9f87eff4165f280254069af1","24.3004547264139","No"
"0x10673b87e2747cdd918ae0c3fa1d85657afa112d","5.17511303299313","No"
"0x10c62829f9b605f564564426d9054f35ff8db4f3","4.54531222321701","No"
"0x1174550a5ce2ba3d099bd23705b1558c6bced59d","31.2206815832817","No"
"0x12adb282bf1f36483959dbe1fe4687f63803e994","15.7242307334139","No"
"0x12cedf1ca3083dd4aa6384e7c16d12f1be82fc87","11.2290520474519","No"
"0x133a123687c6c4d12abcd18a8dacf2b7871d9548","1.63645388472411","No"
"0x14b5ffbc88f6f638ef7fbe1ffcdc99c718b58557","15.7710877212845","No"
"0x170a4421a8eb8ecc533e76ac097805f456a668c7","16.9506069858284","No"
"0x1748aeebf0837f5749863a11f4d8730408b08bb3","138.503067193223","No"
"0x17e00383a843a9922bca3b280c0ade9f8ba48449","370.230811694645","No"
"0x18b2eb576ba64c856039069e473afd66129ff314","62.3619563916264","No"
"0x1df63e28c9ede182d6dfb6bbc8c48d6fa537ccef","18.5664509393318","No"
"0x1e37f95cb5b7608b758b7494b08915b576e623e9","4.79422696767882","No"
"0x1ef7504774e7949755a1a7e8932024f53b7867e5","10.9969491530598","No"
